amt,city_pop,hora,dia_semana,idade,dist_cliente_comerciante,category_food_dining,category_gas_transport,category_grocery_net,category_grocery_pos,category_health_fitness,category_home,category_kids_pets,category_misc_net,category_misc_pos,category_personal_care,category_shopping_net,category_shopping_pos,category_travel,gender_M,periodo_dia_manha,periodo_dia_noite,periodo_dia_tarde,real,proba_fraude_rf,previsto_rf
3.05,95015,12,2,74,0.5572436047053407,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,0,0.046976039852642544,0
9.95,895,16,0,21,0.6446565590490805,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,0,0.01922301546888632,0
2.52,3688,18,4,32,0.869778939745615,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,0,0.04128292649657818,0
77.49,5989,5,6,53,1.0475973097378608,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0.07902163684953628,0
34.62,630,12,4,60,1.0680365844454933,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,0,0.017267628935219242,0
8.64,3104,21,6,39,1.176014389112655,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,0,0.056023782738283276,0
3.01,128354,21,4,28,0.8502881677649017,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,0,0.03813385778367667,0
36.46,144160,1,2,36,0.6215699269044486,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0,0.15535716013250422,0
43.95,5989,1,3,53,0.9396616717313672,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0.1433698819289843,0
2.41,6434,2,2,53,0.6900199228986141,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,0,0.09727096839395183,0
2.43,18408,21,4,48,0.719827898188173,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,0,0.07708796111159927,0
66.8,277,21,3,48,0.9903099983187076,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,0,0.0403606995653176,0
8.58,811,22,4,48,0.9477561500201396,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,0,0.5677616107835508,1
36.58,1241364,20,1,61,0.6659595452247814,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,0,0.014038109424148883,0
131.55,36784,9,1,79,0.8133066780501673,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,0,0.017071649076637774,0
231.63,545147,4,4,32,0.618691327936637,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0.04123481729509658,0
106.22,741,4,6,34,0.9489734607585192,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,0,0.02411660651701999,0
8.47,2089,4,1,57,0.567919001148043,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0,0.07379907717562094,0
50.63,190178,5,5,47,0.5807217820686568,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0,0.04245321752836824,0
85.64,1654,9,6,29,0.9871507879047652,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,0,0.007361531280632407,0
67.78,1583,10,0,21,0.45519735755384155,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0,0.010737854471735482,0
198.61,239,10,0,64,0.3337432256945432,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,0,0.0077093017645449465,0
1.56,7268,23,2,32,0.24898595912419838,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,0,0.09675483893031289,0
216.55,2054,3,3,57,0.9222107463481362,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0,0.0480462306570274,0
96.33,1075,21,6,23,0.7917338518776337,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0,0.07067652915389756,0
62.3,321,5,6,41,0.27262090522921845,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0.05656184202908472,0
26.19,184,13,0,75,0.9036390541936574,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0,0.028479127737726463,0
94.38,647,21,1,33,0.5956033262029471,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,0,0.0405277647316083,0
137.04,321490,22,3,28,0.8451569532779115,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,0,0.13099763352599056,0
94.38,5760,16,2,41,0.9603261409838878,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,0,0.01709475469174566,0
75.24,2097,23,6,32,0.8289412661558139,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,0,0.2929837511194489,0
1.16,2148,3,0,67,1.0698328092188076,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0,0.08294015973315942,0
29.89,1850,18,5,56,0.41250243017587274,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0,0.0848591132942732,0
36.35,255,20,0,48,0.6952351179694546,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,0,0.019725652209722035,0
140.41,61,16,4,80,0.4121821465723622,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,0,0.01951381469241643,0
62.63,630,8,2,61,0.48510898652261736,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,0,0.007298434287152477,0
